journal_key,detected_at,asof,intraday_timestamp,data_mode,ticker,name,status,signal_type,breakout_type,leader_trigger_type,global_rank,previous_global_rank,rank_delta,rank_new_top10,leadership_score,theme,theme_leader_count,theme_breakout_count,top1_active_windows,top1_1w,top1_1m,top1_3m,top1_6m,perf_1w_pct,perf_1m_pct,perf_3m_pct,perf_6m_pct,rank_pct_1m,rank_pct_3m,rank_pct_6m,breakout_base_count,breakout_chase_count,breakout_52w_base_count,breakout_baseline,rvol_10d,or30_breakout,or30_breakout_time,day_open,day_high,day_low,close,previous_close,day_change_pct,prior_day_high,prior_day_low,leader_trigger_level,volume,dollar_volume10,avgvol10,adr_pct,market_cap,country,history_days,history_is_short
2026-06-01:BAND,2026-06-01T18:30:57-03:00,2026-06-01,2026-06-01T20:03:11+00:00,intraday,BAND,Bandwidth Inc. Class A Common Stock,Chase Breakout,,ATH,,3,4,1,False,92.876974,Optical & networking,1,1,"3M,6M",False,False,True,True,15.474833,92.583537,369.159497,397.124825,0.973995,0.997608,0.986553,0,1,,,1.8377,True,10:10,63.73,71.76,62.76,70.89,,,,,,1715596,54718667.597195,926146.8,5.98649,1791368326.65,United States,314,False
2026-06-01:SNDK,2026-06-01T18:30:57-03:00,2026-06-01,2026-06-01T20:03:11+00:00,intraday,SNDK,Sandisk Corporation Common Stock,Chase Breakout,,ATH,,5,9,4,False,92.705608,Semiconductors & AI compute,12,4,"3M,6M",False,False,True,True,19.120979,60.639666,184.52381,719.117374,0.943262,0.989234,0.998778,0,4,,,0.951009,False,,1732.85498,1804,1686.16,1761.43,,,,,,9624868,15639409044.005787,10348604.6,6.32902,197405128311.58,United States,314,False
2026-06-01:MU,2026-06-01T18:30:57-03:00,2026-06-01,2026-06-01T20:03:11+00:00,intraday,MU,"Micron Technology, Inc.",Chase Breakout,,ATH,,8,,,True,92.144012,Semiconductors & AI compute,12,4,"1M,6M",True,True,False,True,37.882823,100.228169,150.926891,349.709025,0.98227,0.9689,0.98533,0,1,,,0.853592,True,10:50,1009.570007,1046.97,1009.5,1035.5,,,,,,45208892,42853665366.97087,51688876.2,5.038798,768595865118.5399,United States,314,False
2026-06-01:SHAZ,2026-06-01T18:30:57-03:00,2026-06-01,2026-06-01T20:03:11+00:00,intraday,SHAZ,SharonAI Holdings Inc. Class A Common Stock,Chase Breakout,,1M,,11,8,-3,False,85.943187,EDP Services,1,1,3M,False,False,True,False,16.882163,72.934783,288.04878,,0.958629,0.996411,,0,2,,,0.81271,True,15:25,78,82,75.1,79.55,,,,,,514375,45167434.741112,725556,8.287422,1269716553,United States,72,True
2026-06-01:DOCN,2026-06-01T18:30:57-03:00,2026-06-01,2026-06-01T20:03:11+00:00,intraday,DOCN,"DigitalOcean Holdings, Inc.",New Breakout,,ATH,,12,33,21,False,85.857943,Software & data,4,4,3M,False,False,True,False,9.459801,79.871409,197.819368,284.334146,0.966903,0.994019,0.974328,5,0,,,2.052106,True,11:15,162.009995,174.385,156.25,173.45,,,,,,4538087,398281130.057739,2570145.6,6.355541,15386411204.83,United States,314,False
2026-06-01:PENG,2026-06-01T18:30:57-03:00,2026-06-01,2026-06-01T20:03:11+00:00,intraday,PENG,"Penguin Solutions, Inc. Ordinary Shares",Chase Breakout,,ATH,,13,21,8,False,85.668863,Semiconductors & AI compute,12,4,3M,False,False,True,False,12.215749,96.349885,197.805486,193.993107,0.977541,0.992823,0.948655,0,1,,,1.129338,True,10:35,55,61.25,54.5,59.71,,,,,,3046406,143288869.190703,2787434.4,7.476174,2319668590.68,United States,314,False
2026-06-01:NBIS,2026-06-01T18:30:57-03:00,2026-06-01,2026-06-01T20:03:11+00:00,intraday,NBIS,Nebius Group N.V. Class A Ordinary Shares,New Breakout,,ATH,,16,,,False,85.440746,Software & data,4,4,3M,False,False,True,False,23.159659,91.354988,190.638391,179.34312,0.972813,0.990431,0.94132,10,0,,,1.493407,True,10:05,244.179993,274.798,238,264.51,,,,,,23568945,3489837141.017389,16303620.4,7.022232,50744093052.840004,Netherlands,314,False
2026-06-01:INOD,2026-06-01T18:30:57-03:00,2026-06-01,2026-06-01T20:03:11+00:00,intraday,INOD,Innodata Inc.,New Breakout,,ATH,,21,31,10,False,85.055466,Software & data,4,4,1M,False,True,False,False,20.779221,173.076012,159.379217,101.116149,0.996454,0.977273,0.852078,10,0,,,1.605364,True,11:00,104.599998,117.19,100.26,115.32,,,,,,2766478,163496985.823993,1698090.4,9.271347,3093115509.76,United States,314,False
2026-06-01:OSS,2026-06-01T18:30:57-03:00,2026-06-01,2026-06-01T20:03:11+00:00,intraday,OSS,"One Stop Systems, Inc. Common Stock",Breakout,,ATH,,22,27,5,False,84.872809,ELECTRONIC COMPUTERS,1,1,1M,False,True,False,False,6.337633,99.789252,119.826087,218.655462,0.981087,0.948565,0.957213,4,0,,,1.32813,True,10:05,18.18,20.2,17.87,18.96,,,,,,1928227,22390698.764073,1317113.5,7.697332,396056581.83,United States,314,False
2026-06-01:KEEL,2026-06-01T18:30:57-03:00,2026-06-01,2026-06-01T20:03:11+00:00,intraday,KEEL,Keel Infrastructure Corp. Common Stock,Chase Breakout,,1M,,24,32,8,False,84.761348,Finance: Consumer Services,2,1,1M,False,True,False,False,26.819127,101.320132,,,0.983452,,,0,6,,,1.287949,True,10:05,5.582,6.21,5.396,6.1,,,,,,47741781,186190261.710281,37161361.7,7.98642,3424194458,Canada,64,True
