chave,valor
agente,Short: Day2Fade v2 (GapCrap retired 2026-07-21)
atualizado_em,2026-07-29
status,1 sinal(is) amanha
capital_base,8000
risco_pct,1
risco_por_trade_usd,80.00
notional_por_trade_usd,160.00
max_posicoes,sem limite
pos_abertas,0
risco_aberto,$0
pnl_aberto,$0
exposicao,$0
watchlist_amanha,1
trades_hoje,0
trades,22
trades_faded2r,9
trades_gapcrap,3
fechados,22
win_pct,55
pnl_usd,120.44
retorno_pct,1.51
watchlist_total,1
watchlist_bloqueados,0
trades_day2fade_v2,9
trades_gapcrap_v2,3
loss_pct,45
scratch_pct,0
expectancy_r,0.06
avg_r,0.06
avg_win_r,0.33
avg_loss_r,-0.25
best_r,1.10
worst_r,-0.50
wins,12
losses,10
scratches,0
profit_factor,1.55
payoff_r,1.29
expectancy_usd,5.47
avg_trade_usd,5.47
gross_profit_usd,269.11
gross_loss_usd,-148.67
avg_win_usd,22.43
avg_loss_usd,-14.87
max_drawdown_r,-0.69
max_drawdown_usd,-42.63
sample_note,amostra_pequena
short_stop_rule_pct,50
short_stop_rule,entry_plus_50_pct
short_risk_pct,1
short_notional_pct,2
short_risk_budget,80.00
short_notional_budget,160.00
day2fade_version,v2
day2fade_signal_timing,pump_yesterday_short_today_open
day2fade_trigger_basis,high_vs_open
day2fade_min_trigger_pct,70
day2fade_min_price,1
day2fade_min_adv_musd,20
day2fade_market_cap_filter,off
day2fade_market_cap_warning_musd,off
day2fade_max_earnings_age_days,3
day2fade_earnings_unknown,0
day2fade_earnings_skip,0
gapcrap_version,v2
gapcrap_min_gap_pct,80
gapcrap_min_price,0.10
gapcrap_requires_borrow,false
gapcrap_price_filter,anti_dust_0_10
gapcrap_volume_filter,off
gapcrap_market_cap_filter,off
gapcrap_locate_required,0
gapcrap_no_locate,0
gapcrap_scan_enabled,false
gapcrap_scan_status,retired_no_borrow_2026-07-21
gapcrap_operational_status,retired_no_borrow_2026-07-21
gapcrap_scan_cache_hit,false
gapcrap_scan_universe,0
gapcrap_scan_prefiltered,0
gapcrap_scan_chart_checked,0
gapcrap_scan_confirmed,0
gapcrap_scan_added_agent,0
gapcrap_scan_added_latest_shorts,0
gapcrap_scan_errors,0
market_cap_filter,legacy_only_day2fade_gapcrap_exempt
min_market_cap_usd,40000000
min_market_cap_musd,40
market_cap_filter_source,2026-07-29
market_cap_filter_removed_agent,0
market_cap_filter_removed_watchlist_next,0
market_cap_filter_removed_latest_shorts,0
market_cap_filter_legacy_agent,8
market_cap_filter_legacy_below_40m_agent,5
resultados_hipoteticos_excluidos,4
resultado_hipotetico_sem_locate,0
