chave,valor
agente,Short: Day2Fade v2 + GapCrap v2
atualizado_em,2026-07-14
status,1 sinal(is) amanha
capital_base,8000
risco_pct,0.5
risco_por_trade_usd,40.00
notional_por_trade_usd,80.00
max_posicoes,sem limite
pos_abertas,0
risco_aberto,$0
pnl_aberto,$0
exposicao,$0
watchlist_amanha,1
trades_hoje,0
trades,6
trades_faded2r,4
trades_gapcrap,2
fechados,6
win_pct,33
pnl_usd,-3.30
retorno_pct,-0.04
trades_day2fade_v2,4
trades_gapcrap_v2,2
loss_pct,50
scratch_pct,17
expectancy_r,-0.01
avg_r,-0.01
avg_win_r,0.32
avg_loss_r,-0.22
best_r,0.39
worst_r,-0.40
wins,2
losses,3
scratches,1
profit_factor,0.94
payoff_r,1.41
expectancy_usd,-0.55
avg_trade_usd,-0.55
gross_profit_usd,63.24
gross_loss_usd,-66.54
avg_win_usd,21.08
avg_loss_usd,-22.18
max_drawdown_r,-0.43
max_drawdown_usd,-42.75
sample_note,amostra_pequena
short_stop_rule_pct,50
short_stop_rule,entry_plus_50_pct
day2fade_version,v2
day2fade_signal_timing,signal_today_trade_tomorrow
day2fade_min_trigger_pct,30
day2fade_min_price,2
day2fade_min_adv_musd,10
day2fade_market_cap_filter,off
day2fade_market_cap_warning_musd,40
day2fade_max_earnings_age_days,3
day2fade_earnings_unknown,1
day2fade_earnings_skip,0
gapcrap_version,v2
gapcrap_min_gap_pct,80
gapcrap_requires_borrow,true
gapcrap_price_filter,off
gapcrap_volume_filter,off
gapcrap_market_cap_filter,off
gapcrap_locate_required,0
gapcrap_no_locate,0
market_cap_filter,ativo_exceto_day2fade_gapcrap_v2
min_market_cap_usd,40000000
min_market_cap_musd,40
market_cap_filter_source,2026-07-14
market_cap_filter_removed_agent,0
market_cap_filter_removed_watchlist_next,0
market_cap_filter_removed_latest_shorts,0
market_cap_filter_legacy_agent,0
market_cap_filter_legacy_below_40m_agent,0
